Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,237097
design__instance__area,1.22676E+6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,1464
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,41
power__internal__total,7.468680381774902
power__switching__total,11.901062965393066
power__leakage__total,0.0000012088802350262995
power__total,19.3697452545166
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2520784485831833
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2517431612202639
timing__hold__ws__corner:nom_tt_025C_1v80,0.3570419616575586
timing__setup__ws__corner:nom_tt_025C_1v80,-40.88714194057442
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,-5159.6936468262775
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,-40.88714194057442
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.357042
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,128
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,7.632265
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,36527
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,44
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.25306638056958664
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2527419178814635
timing__hold__ws__corner:nom_ss_100C_1v60,0.9832727133041026
timing__setup__ws__corner:nom_ss_100C_1v60,-83.106231804138
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-10523.98540856042
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-83.106231804138
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.983273
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,128
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,5.409859
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,41
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2515688839560445
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.25122443725291294
timing__hold__ws__corner:nom_ff_n40C_1v95,0.13616069768193198
timing__setup__ws__corner:nom_ff_n40C_1v95,-24.011357137773906
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,-3013.755616590685
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,-24.011357137773906
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.136161
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,128
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,8.378788
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,43149
design__max_fanout_violation__count,0
design__max_cap_violation__count,53
clock__skew__worst_hold,-0.25129427028313683
clock__skew__worst_setup,0.2510682011133539
timing__hold__ws,0.13110873868779852
timing__setup__ws,-85.51491490306809
timing__hold__tns,0.0
timing__setup__tns,-10822.281489284294
timing__hold__wns,0
timing__setup__wns,-85.51491490306809
timing__hold_vio__count,0
timing__hold_r2r__ws,0.131109
timing__hold_r2r_vio__count,0
timing__setup_vio__count,1152
timing__setup_r2r__ws,5.372448
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 1119.56 1130.28
design__core__bbox,5.52 10.88 1113.66 1117.92
design__io,390
design__die__area,1.26542E+6
design__core__area,1.22676E+6
design__instance__count__stdcell,94349
design__instance__area__stdcell,764402
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.623109
design__instance__utilization__stdcell,0.623109
design__rows,407
design__rows:unithd,407
design__sites,980463
design__sites:unithd,980463
design__instance__count__class:inverter,555
design__instance__area__class:inverter,2099.51
design__instance__count__class:sequential_cell,13
design__instance__area__class:sequential_cell,341.578
design__instance__count__class:multi_input_combinational_cell,62412
design__instance__area__class:multi_input_combinational_cell,618349
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,142748
design__instance__area__class:fill_cell,462353
design__instance__count__class:tap_cell,17382
design__instance__area__class:tap_cell,21748.4
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
floorplan__design__io,388
design__io__hpwl,178773935
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,17912.3
design__instance__displacement__mean,0.188
design__instance__displacement__max,38.649
route__wirelength__estimated,3.04412E+6
design__violations,0
design__instance__count__class:timing_repair_buffer,13915
design__instance__area__class:timing_repair_buffer,121610
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,4
design__instance__area__class:clock_buffer,82.5792
design__instance__count__setup_buffer,51
design__instance__count__hold_buffer,13
flow__warnings__count:RSZ-0062,1
global_route__vias,764
global_route__wirelength,5261374
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,45
design__instance__count__class:antenna_cell,68
design__instance__area__class:antenna_cell,170.163
route__net,77157
route__net__special,2
route__drc_errors__iter:0,2433
route__wirelength__iter:0,3695567
route__drc_errors__iter:1,962
route__wirelength__iter:1,3695216
route__drc_errors__iter:2,787
route__wirelength__iter:2,3695015
route__drc_errors__iter:3,76
route__wirelength__iter:3,3695075
route__drc_errors__iter:4,0
route__wirelength__iter:4,3695069
route__drc_errors__iter:5,285
route__wirelength__iter:5,3694937
route__drc_errors__iter:6,64
route__wirelength__iter:6,3694925
route__drc_errors__iter:7,23
route__wirelength__iter:7,3694920
route__drc_errors__iter:8,16
route__wirelength__iter:8,3694932
route__drc_errors__iter:9,16
route__wirelength__iter:9,3694932
route__drc_errors__iter:10,1
route__wirelength__iter:10,3694926
route__drc_errors__iter:11,1
route__wirelength__iter:11,3694926
route__drc_errors__iter:12,0
route__wirelength__iter:12,3694925
route__drc_errors,0
route__wirelength,3695069
route__vias,741543
route__vias__singlecut,741543
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,1417.63
timing__unannotated_net__count__corner:nom_tt_025C_1v80,1
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,1
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,1
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,577
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,35
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.2517450208438828
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.25152525218994276
timing__hold__ws__corner:min_tt_025C_1v80,0.3497695565513763
timing__setup__ws__corner:min_tt_025C_1v80,-39.44586635645554
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,-4979.5313815093905
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,-39.44586635645554
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.349770
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,128
timing__setup_r2r__ws__corner:min_tt_025C_1v80,7.651547
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,1
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,29148
design__max_fanout_violation__count__corner:min_ss_100C_1v60,0
design__max_cap_violation__count__corner:min_ss_100C_1v60,35
clock__skew__worst_hold__corner:min_ss_100C_1v60,-0.252628952685513
clock__skew__worst_setup__corner:min_ss_100C_1v60,0.2524165670148955
timing__hold__ws__corner:min_ss_100C_1v60,0.9709007206346835
timing__setup__ws__corner:min_ss_100C_1v60,-80.55022477020881
timing__hold__tns__corner:min_ss_100C_1v60,0.0
timing__setup__tns__corner:min_ss_100C_1v60,-10211.499391098165
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,-80.55022477020881
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,0.970901
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,128
timing__setup_r2r__ws__corner:min_ss_100C_1v60,5.444251
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__unannotated_net__count__corner:min_ss_100C_1v60,1
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,0
design__max_cap_violation__count__corner:min_ff_n40C_1v95,35
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-0.25129427028313683
clock__skew__worst_setup__corner:min_ff_n40C_1v95,0.2510682011133539
timing__hold__ws__corner:min_ff_n40C_1v95,0.13110873868779852
timing__setup__ws__corner:min_ff_n40C_1v95,-23.077085784382025
timing__hold__tns__corner:min_ff_n40C_1v95,0.0
timing__setup__tns__corner:min_ff_n40C_1v95,-2895.7798258926
timing__hold__wns__corner:min_ff_n40C_1v95,0
timing__setup__wns__corner:min_ff_n40C_1v95,-23.077085784382025
timing__hold_vio__count__corner:min_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,0.131109
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,128
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,8.391607
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_ff_n40C_1v95,1
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,3123
design__max_fanout_violation__count__corner:max_tt_025C_1v80,0
design__max_cap_violation__count__corner:max_tt_025C_1v80,44
clock__skew__worst_hold__corner:max_tt_025C_1v80,-0.2525155989114929
clock__skew__worst_setup__corner:max_tt_025C_1v80,0.2518154367412111
timing__hold__ws__corner:max_tt_025C_1v80,0.36404125189195885
timing__setup__ws__corner:max_tt_025C_1v80,-42.248435279380416
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,-5332.864626172909
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,-42.248435279380416
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.364041
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,128
timing__setup_r2r__ws__corner:max_tt_025C_1v80,7.611817
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,1
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,43149
design__max_fanout_violation__count__corner:max_ss_100C_1v60,0
design__max_cap_violation__count__corner:max_ss_100C_1v60,53
clock__skew__worst_hold__corner:max_ss_100C_1v60,-0.25358280082409634
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.2529041214699487
timing__hold__ws__corner:max_ss_100C_1v60,0.9954629624592507
timing__setup__ws__corner:max_ss_100C_1v60,-85.51491490306809
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,-10822.281489284294
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,-85.51491490306809
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.995463
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,128
timing__setup_r2r__ws__corner:max_ss_100C_1v60,5.372448
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,1
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,32
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,0
design__max_cap_violation__count__corner:max_ff_n40C_1v95,44
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.2519790003529399
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.2512607415468449
timing__hold__ws__corner:max_ff_n40C_1v95,0.14114673718211398
timing__setup__ws__corner:max_ff_n40C_1v95,-24.927186353937557
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,-3131.188893683819
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,-24.927186353937557
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.141147
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,128
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,8.364923
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,1
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,1
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.7174
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.77406
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.0825979
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.0816979
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.0259758
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.0816979
design_powergrid__voltage__worst,0.0816979
design_powergrid__voltage__worst__net:VPWR,1.7174
design_powergrid__drop__worst,0.0825979
design_powergrid__drop__worst__net:VPWR,0.0825979
design_powergrid__voltage__worst__net:VGND,0.0816979
design_powergrid__drop__worst__net:VGND,0.0816979
ir__voltage__worst,1.7199999999999999733546474089962430298328399658203125
ir__drop__avg,0.025899999999999999411581796948667033575475215911865234375
ir__drop__worst,0.0826000000000000067501559897209517657756805419921875
design__xor_difference__count,5
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
